antipoverty,(adj.) 反贫困的，扶贫的
poverty,(n.) 贫穷，贫困
poor,(adj.) 贫穷的
residents,(n.) 居民
inequality,(n.) 不平等
social assistance,(n. phr.) 社会援助
livelihood,(n.) 生计，谋生手段
poverty alleviation,(n. phr.) 扶贫，减贫
conditional cash transfers (CCTs),(n. phr.) 有条件现金转移（项目）
deforestation,(n.) 采伐森林，森林砍伐
environment,(n.) 环境
environmental degradation,(n. phr.) 环境退化，环境恶化
forest,(n.) 森林
tropical forest,(n. phr.) 热带雨林
carbon dioxide emissions,(n. phr.) 二氧化碳排放
preserve,(v.) 保护，维持
turnaround,(n.) （形势的）好转，逆转
economist,(n.) 经济学家
correlated with,(adj. phr.) 与…有相关性
causality,(n.) 因果关系
study,(n.) 研究
analyze,(v.) 分析
satellite data,(n. phr.) 卫星数据
transferability,(n.) 可转移性，可推广性
commonalities,(n.) 共同点，共性
debates,(n.) 辩论
process,(n.) 过程
marked,(v.) 标志着
slowed,(v.) （使）放缓
phasing in,(v. phr.) 分阶段引入/推行
requiring,(v.) 要求
reduce,(v.) 减少
consider,(v.) 考虑
prove,(v.) 证明
instituted,(v.) 建立，制定
affecting,(v.) 影响
supplement,(v.) 补充，增补
boost,(v.) 促进，增加
benefit,(v.) 使…受益
aim to,(v. phr.) 旨在
lower,(v.) 降低
facilitate,(v.) 促进
bleak,(adj.) 严峻的，令人沮丧的
conditional,(adj.) 有条件的
severe,(adj.) 严重的
conflicting,(adj.) 相互冲突的
traditional,(adj.) 传统的
negatively,(adv.) 负面地
annual,(adj.) 每年的
rural,(adj.) 农村的
makeshift,(adj.) 临时的，权宜的
inclement,(adj.) （天气）恶劣的
valuable,(adj.) 有价值的
in a row,连续
under certain conditions,在特定条件下
break the cycle of,打破…的循环
in fact,事实上
cause and effect,因果关系
due to,由于，因为
regardless of,不管，不顾
be associated with,与…有关联
be likely because,很可能是因为
anybody's guess,谁也说不准，无法预测
get better off,（经济状况）好转，改善生活
centered on,以…为中心
...marked the [number] year in a row that...,……是……连续的第[数字]年。
be designed to do sth.,旨在做某事。
be viewed as,被视为
"Even if..., the value of... is more than...",即使……，……的价值也超过了……（用于强调某事物的巨大价值）
